"112";"SILICONA LIQUIDA 60ML";"24";"0.3899";"0.05";"9.3576";;"0.370405";"24";"0.481526";"2016-05-21 12:27:49";"2016-05-21 12:27:49";"A"
"113";"TACHUELA DE COLORES LANCER X50PZ";"10";"0.192";"0.05";"1.92";;"0.1824";"10";"0.23712";"2016-05-21 12:31:27";"2016-05-21 12:31:27";"A"
"114";"TACHUELA PINES LANCER COLORES X100PZ (12)";"12";"0.6026";"0.05";"7.2312";;"0.57247";"12";"0.744211";"2016-05-21 12:34:00";"2016-05-21 12:34:00";"A"
"115";"GRAPAS EA-ALWIN N0. 26/6 1000u";"10";"0.186";"0.05";"1.86";;"0.1767";"10";"0.22971";"2016-05-21 12:35:25";"2016-05-21 12:35:25";"A"
"116";"GRAPAS EAGLE N0. 10  1000U";"10";"0.1133";"0.05";"1.133";;"0.107635";"10";"0.139925";"2016-05-21 12:36:46";"2016-05-21 12:36:46";"A"
"117";"TANGRAN MADERA 15 x 15 CM";"6";"0.8281";"0.05";"4.9686";;"0.786695";"6";"1.0227";"2016-05-21 12:38:35";"2016-05-21 12:38:35";"A"
"118";"CORCHO TAPON N0. 11";"50";"0.2038";"0.05";"10.19";;"0.19361";"50";"0.251693";"2016-05-21 12:39:30";"2016-05-21 12:39:30";"A"
"119";"PROTECTOR P/ CREDENCIAL 6 x 9 CM (100)";"100";"0.0949";"0.05";"9.49";;"0.090155";"100";"0.117201";"2016-05-21 12:40:52";"2016-05-21 12:40:52";"A"
"120";"CARTULINA NEGRA PLIEGO 100x70 CM";"50";"0.3181";"0.05";"15.905";;"0.302195";"50";"0.392853";"2016-05-21 12:41:51";"2016-05-21 12:41:51";"A"
"121";"PEGRA BRUJITA DURITA (12+2)";"24";"0.172";"0.05";"4.128";;"0.1634";"24";"0.21242";"2016-05-21 12:44:50";"2016-05-21 12:44:50";"A"
"122";"FLASH KINGSTON 8G";"6";"5.8826";"0.05";"35.2956";;"5.58847";"6";"7.26501";"2016-05-21 12:46:02";"2016-05-21 12:46:02";"A"
"123";"CARPETA SOBRE FUELLE DE CARTON";"12";"0.7043";"0.05";"8.4516";;"0.669085";"12";"0.869811";"2016-05-21 12:47:22";"2016-05-21 12:47:22";"A"
"124";"CARPETA SOBRE 209 + BROCHE";"10";"0.333";"0.05";"3.33";;"0.31635";"10";"0.411255";"2016-05-21 12:48:02";"2016-05-21 12:48:02";"A"
"125";"BORRADOR PZ-60 PELIKAN PEQUEÃ‘O";"60";"0.0951";"0.05";"5.706";;"0.090345";"60";"0.117449";"2016-05-21 20:07:39";"2016-05-21 20:07:39";"A"
"126";"ESFERO BIC CRISTAL";"48";"0.2146";"0.05";"10.3008";;"0.20387";"48";"0.265031";"2016-05-21 20:14:20";"2016-05-21 20:14:20";"A"
"127";"LAPIZ ROJO ARTESCO";"12";"0.2229";"0.05";"2.6748";;"0.211755";"12";"0.275281";"2016-05-21 20:17:13";"2016-05-21 20:17:13";"A"
"128";"CARPETA CARTON NACIONAL";"100";"0.1164";"0.05";"11.64";;"0.11058";"100";"0.25";"2016-05-21 20:18:29";"2016-05-21 20:18:52";"A"
"129";"COLOR CARIOCA 12 CORTA 12PZ";"24";"0.6429";"0.05";"15.4296";;"0.610755";"24";"0.793981";"2016-05-21 20:20:59";"2016-05-21 20:20:59";"A"
"130";"COLOR CARIOCA LARGA 12PZ";"24";"1.229";"0.05";"29.496";;"1.16755";"24";"1.5";"2016-05-21 20:22:13";"2016-05-21 20:22:41";"A"
"131";"CORRECTOR QN MINI PASSOLA";"12";"0.2955";"0.05";"3.546";;"0.280725";"12";"0.364942";"2016-05-21 20:27:24";"2016-05-21 20:27:42";"A"
"132";"PAPEL REGALO T OCACION BERNIC";"50";"0.066";"0.05";"3.3";;"0.0627";"50";"0.08151";"2016-05-21 20:29:15";"2016-05-21 20:29:15";"A"
"133";"ARCHIVADOR ECUTELEGRAMA BENE ";"12";"1.3898";"0.05";"16.6776";;"1.32031";"12";"1.7164";"2016-05-21 20:33:12";"2016-05-21 20:33:12";"A"
"134";"ARCHIVADOR ECOL BENE OFICIO";"12";"1.53";"0.05";"18.36";;"1.4535";"12";"1.88955";"2016-05-21 20:34:40";"2016-05-21 20:34:40";"A"
"135";"FOMIX ESCHADO ADESIVO";"40";"0.2998";"0.05";"11.992";;"0.28481";"40";"0.370253";"2016-05-21 20:35:27";"2016-05-21 20:35:27";"A"
"136";"TROMPO MADERA + PIOLA";"10";"1.04";"0.05";"10.4";;"0.988";"10";"1.2844";"2016-05-21 20:39:05";"2016-05-21 20:39:05";"A"
"137";"ESPUMAFLEX BOLA N0. 2";"50";"0.0569";"0.05";"2.845";;"0.054055";"50";"0.0702715";"2016-05-21 20:48:07";"2016-05-21 20:48:07";"A"
"138";"CRAYON PELIKAN JUM TRIANGULAR 12PZ";"6";"1.9867";"0.05";"11.9202";;"1.88736";"6";"2.25";"2016-05-21 20:49:20";"2016-05-21 20:49:55";"A"
"139";"TIJERA PUNTA REDONDA ESCOLAR KS";"48";"0.229";"0.05";"10.992";;"0.21755";"48";"0.282815";"2016-05-21 20:53:12";"2016-05-21 20:53:12";"A"
"140";"BOLA ESARTAR CUNTAS N0.20";"600";"0.0269";"0.05";"16.14";;"0.025555";"600";"0.0332215";"2016-05-21 20:55:05";"2016-05-21 20:55:05";"A"
"141";"REGLA T APOLO 45CM PLATICO";"12";"0.5948";"0.05";"7.1376";;"0.56506";"12";"0.734578";"2016-05-21 20:56:34";"2016-05-21 20:56:34";"A"
"142";"PORTAMINAS LT 828 GRIP";"48";"0.2437";"0.05";"11.6976";;"0.231515";"48";"0.30097";"2016-05-21 20:57:40";"2016-05-21 20:57:40";"A"
"143";"NORMOGRAFO TECNICO 0.4";"10";"1.1733";"0.05";"11.733";;"1.11463";"10";"1.44903";"2016-05-21 20:58:39";"2016-05-21 20:58:39";"A"
"144";"FUNDA REGALO 03 LARTGE T";"12";"0.4432";"0.05";"5.3184";;"0.42104";"12";"0.547352";"2016-05-21 21:00:14";"2016-05-21 21:00:14";"A"
"145";"ALMOHADILLA ENTINTANDA LANCER";"6";"0.654";"0.05";"3.924";;"0.6213";"6";"0.8";"2016-05-23 10:02:10";"2016-05-23 10:04:49";"A"
"146";"APOYAMANO CARIOCA A4/INEN";"6";"1.8413";"0.05";"11.0478";;"1.74924";"6";"2.25";"2016-05-23 10:07:35";"2016-05-23 10:08:20";"A"
"147";"MARCADOR CARIOCA 12 PZ.";"24";"0.9937";"0.05";"23.8488";;"0.944015";"24";"1.22722";"2016-05-23 11:18:53";"2016-05-23 11:18:53";"A"
"148";"PLASTILINA CARIOCA CORTA 8C";"24";"0.22";"0.05";"5.28";;"0.209";"24";"0.2717";"2016-05-23 11:26:05";"2016-05-23 11:26:05";"A"
"149";"COMPAS LANCER 704 ARTICULADO + ADAPTADOR";"12";"1.5556";"0.05";"18.6672";;"1.47782";"12";"1.92117";"2016-05-23 11:38:07";"2016-05-23 11:38:07";"A"
